,省份,城市,注册资本,公司名称,公司简称,邮箱列表,电话列表,标签
0,河北省,张家口市,100万人民币,<em>涿鹿</em>精创<em>教育</em>信息<em>咨询</em>有限公司,精创教育,15801302395@163.com,['17600945223'],河北省涿鹿县教育咨询
1,河北省,张家口市,300万人民币,<em>河北</em>智禧顺<em>教育</em>信息<em>咨询</em>有限公司,智禧顺,13363130721@qq.com,"['13363130721', '15230344609']",河北省涿鹿县教育咨询
2,河北省,张家口市,50万人民币,<em>涿鹿</em>至善<em>教育咨询</em>有限公司,至善教育,303636019@qq.com,['13931307887'],河北省涿鹿县教育咨询
5,河北省,张家口市,100万人民币,<em>涿鹿</em>秀迎<em>教育咨询</em>有限公司,秀迎教育,726758612@qq.com,['18731387535'],河北省涿鹿县教育咨询
6,河北省,张家口市,200万人民币,张家口俊轩<em>教育</em>信息<em>咨询</em>有限公司,俊轩教育,726758612@qq.com,"['15532367602', '13833362563']",河北省涿鹿县教育咨询
9,河北省,张家口市,10万人民币,<em>涿鹿</em>涿学<em>教育咨询</em>有限公司,涿学教育,303636019@qq.com,['13070323459'],河北省涿鹿县教育咨询
11,河北省,张家口市,50万人民币,张家口蔚蓝优学<em>教育咨询</em>有限公司,蔚蓝优学,asd597418572@qq.com,['18713395033'],河北省涿鹿县教育咨询
13,河北省,张家口市,30万人民币,<em>涿鹿</em>状元<em>教育咨询</em>有限公司,状元教育,709051253@qq.com,['13722337486'],河北省涿鹿县教育咨询
14,河北省,张家口市,300万人民币,海沁<em>教育咨询河北</em>有限责任公司,海沁教育,281145323@qq.com,"['13633138689', '13131332491']",河北省涿鹿县教育咨询
14,河北省,张家口市,300万人民币,海沁<em>教育咨询河北</em>有限责任公司,海沁教育,281145323@163.com,"['13633138689', '13131332491']",河北省涿鹿县教育咨询
15,河北省,张家口市,500万人民币,<em>涿鹿</em>卓越<em>教育</em>文化<em>咨询</em>有限公司,卓越教育,970712700@qq.com,['15733691616'],河北省涿鹿县教育咨询
20,河北省,张家口市,30万人民币,<em>蔚县</em>骄扬<em>教育咨询</em>有限公司,骄扬教育,355922803@qq.com,['15231380654'],河北省蔚县教育咨询
21,河北省,张家口市,500万人民币,<em>蔚县</em>树艺<em>教育咨询</em>有限公司,树艺教育,173970811@qq.com,"['15809995953', '18732358808', '13552500616']",河北省蔚县教育咨询
23,河北省,张家口市,72万人民币,<em>蔚县</em>名师堂<em>教育咨询</em>有限公司,名师堂,29658856@qq.com,"['13810737927', '15031366662']",河北省蔚县教育咨询
31,河北省,张家口市,20万人民币,张家口栋伊<em>教育咨询</em>有限公司,栋伊教育,631207070@qq.com,"['17731393236', '19932468000']",河北省万全区教育咨询
33,河北省,张家口市,5万人民币,前橙<em>教育咨询</em>（张家口）工作室,前橙教育,maying5276@gmail.com,"['19103131268', '15901415276']",河北省万全区教育咨询
33,河北省,张家口市,5万人民币,前橙<em>教育咨询</em>（张家口）工作室,前橙教育,840866530@qq.com,"['19103131268', '15901415276']",河北省万全区教育咨询
35,河北省,张家口市,50万人民币,张家口引领右脑<em>教育咨询</em>有限公司,引领右脑,513585564@qq.com,['13383336131'],河北省万全区教育咨询
40,河北省,张家口市,300万人民币,<em>河北</em>拓北<em>教育咨询</em>服务有限公司,拓北教育,1553302915@qq.com,['17330367774'],河北省万全区教育咨询
42,河北省,张家口市,10万人民币,张家口仕途<em>教育</em>科技有限公司,仕途教育,135@qq.com,['13643332544'],河北省万全区教育咨询
44,河北省,张家口市,3万人民币,<em>张北</em>日善堂健康<em>教育咨询</em>有限公司,日善堂,1039264776@qq.com,['13581776727'],河北省张北县教育咨询
47,河北省,张家口市,10万人民币,<em>张北</em>千铧<em>教育</em>科技有限公司,千铧教育,36062610@qq.com,['15203234878'],河北省张北县教育咨询
50,河北省,张家口市,12000万人民币,<em>张北</em>成龙<em>教育</em>科技服务有限公司,成龙教育,1056367499@qq.com,"['15369311112', '15369311111']",河北省张北县教育咨询
50,河北省,张家口市,12000万人民币,<em>张北</em>成龙<em>教育</em>科技服务有限公司,成龙教育,zbclhjl@163.com,"['15369311112', '15369311111']",河北省张北县教育咨询
52,河北省,张家口市,3万人民币,<em>张北县</em>锐思<em>教育</em>有限公司,锐思教育,2639870770@qq.com,['18611695052'],河北省张北县教育咨询
54,河北省,张家口市,有限责任公司分公司(自然人独资),张家口志诚<em>教育</em>文化有限公司<em>张北</em>分公司,志诚教育,275029508@qq.com,['15530302620'],河北省张北县教育咨询
55,河北省,张家口市,30万人民币,新忆客<em>沽源县教育咨询</em>服务有限公司,新忆客,18747771257@139.com,['13394748968'],河北省沽源县教育咨询
56,河北省,张家口市,50万人民币,<em>沽源县</em>高思<em>教育咨询</em>有限公司,高思教育,845682747@qq.com,['13323238245'],河北省沽源县教育咨询
57,河北省,张家口市,30万人民币,<em>沽源</em>优路<em>教育咨询</em>有限责任公司,优路教育,3281964795@qq.com,['15033661134'],河北省沽源县教育咨询
58,河北省,张家口市,20万人民币,<em>沽源县</em>谊思<em>教育咨询</em>有限公司,谊思教育,502072713@qq.com,['15033629318'],河北省沽源县教育咨询
59,河北省,张家口市,100万人民币,<em>沽源县</em>升小优<em>教育咨询</em>有限公司,升小优,420303900@qq.com,"['17600581317', '15911152897', '0313-5780011']",河北省沽源县教育咨询
60,河北省,张家口市,51万人民币,张家口弘毅<em>教育咨询</em>有限公司,弘毅教育,492242648@qq.com,['15128308107'],河北省沽源县教育咨询
62,河北省,张家口市,100万人民币,张家口元晟<em>教育咨询</em>有限责任公司,元晟教育,1172353340@qq.com,['18210885193'],河北省沽源县教育咨询
66,河北省,张家口市,10万人民币,<em>沽源县</em>小巨人<em>教育咨询</em>有限公司,小巨人,wxm-mgr@163.com,['15931324929'],河北省沽源县教育咨询
